market_id,market_name,crop_id,crop_name,n_samples,n_errors,n_direction_reversal,mean_confidence,mean_abs_next_return,error_rate,direction_reversal_rate
220,板橋區,LP2,九層塔,214,109,76,0.48292504656529267,0.14166022981686532,0.5093457943925234,0.35514018691588783
105,台北市場,FE600,非洲菊-白,216,111,76,0.5171273965066225,0.15529122314929747,0.5138888888888888,0.35185185185185186
105,台北市場,FH006,黃梔花,216,98,76,0.5209855692098295,0.1934208952934314,0.4537037037037037,0.35185185185185186
105,台北市場,FS479,水晶香水-多朵,216,117,76,0.4240602707901558,0.10952928959971962,0.5416666666666666,0.35185185185185186
420,豐原區,FY6,玉米-甜軟殼,226,112,76,0.49143001862264224,0.15461959053216032,0.49557522123893805,0.336283185840708
241,三重區,FH4,扁蒲-梨子蒲,197,91,75,0.5321787472249594,0.2627484671037812,0.4619289340101523,0.38071065989847713
800,高雄市場,FS631,OT曼尼薩-單朵,200,99,75,0.5591473281563314,0.20580329279193862,0.495,0.375
514,彰化市場,FH112,小天堂鳥-桔帶紅,207,87,75,0.551919471078568,0.31667125269632534,0.42028985507246375,0.36231884057971014
105,台北市場,FU462,洋桔梗-雙瓣白,208,93,75,0.562204184724953,0.25609360694178807,0.44711538461538464,0.3605769230769231
338,桃農,FK41,甜椒-彩色種 紅色,211,93,75,0.5206353985829175,0.1906268335960839,0.44075829383886256,0.35545023696682465
900,屏東市,FY41,玉米-玉米筍 帶殼,212,102,75,0.5411110149092602,0.17220262499763003,0.4811320754716981,0.35377358490566035
514,彰化市場,FH293,向日葵-單瓣,213,90,75,0.5271323136794595,0.21075139883144614,0.4225352112676056,0.352112676056338
514,彰化市場,FY057,百合竹,213,90,75,0.5414949177346435,0.16277249449017783,0.4225352112676056,0.352112676056338
900,屏東市,LD1,青江白菜-小梗,213,95,75,0.5173092247979697,0.23443433231988872,0.4460093896713615,0.352112676056338
104,台北二,FK42,甜椒-彩色種 黃色,214,98,75,0.5200023365753695,0.17429797605460395,0.45794392523364486,0.35046728971962615
109,台北一,FU1,隼人瓜,214,100,75,0.5056465476102626,0.20353290616357755,0.4672897196261682,0.35046728971962615
241,三重區,FV4,辣椒-朝天椒,214,123,75,0.44533233325226657,0.13009961139063847,0.5747663551401869,0.35046728971962615
338,桃農,FH3,扁蒲-花蒲,214,98,75,0.49451923173791834,0.1951986758694109,0.45794392523364486,0.35046728971962615
338,桃農,LI5,萵苣菜-油麥菜,214,97,75,0.5166434685933045,0.21105231549849338,0.4532710280373832,0.35046728971962615
105,台北市場,FY021,扁柏,216,104,75,0.49868254397893025,0.15941506947370593,0.48148148148148145,0.3472222222222222
830,鳳山區,FF1,絲瓜,223,109,75,0.4538879319604586,0.20200552722252904,0.48878923766816146,0.336322869955157
800,高雄市,FY41,玉米-玉米筍 帶殼,224,125,75,0.45846840722421467,0.10728445148957066,0.5580357142857143,0.33482142857142855
420,豐原區,LI5,萵苣菜-油麥菜,227,126,75,0.45398111647709594,0.12450470270566875,0.5550660792951542,0.3303964757709251
514,彰化市場,FR436,玫瑰-翡翠粉,184,83,74,0.5847348754738316,0.3442341623564162,0.45108695652173914,0.40217391304347827
700,台南市場,FE408,非洲菊-粉紅佳人,186,105,74,0.4668376839805285,0.14786263906033714,0.5645161290322581,0.3978494623655914
241,三重區,LH2,菠菜-角葉,191,92,74,0.5595468839630884,0.28599605328461203,0.4816753926701571,0.387434554973822
105,台北市場,FW240,粉孔雀,197,97,74,0.5028016151455821,0.21454716020910586,0.49238578680203043,0.3756345177664975
400,台中市場,FS969,OT試金石-多朵,201,90,74,0.48002385502851386,0.20860977950265802,0.44776119402985076,0.3681592039800995
800,高雄市場,FU641,洋桔梗-女王３彩粉,204,97,74,0.5383292566167889,0.20079349653743112,0.47549019607843135,0.3627450980392157
700,台南市場,FO335,檸檬綠文心蘭,205,90,74,0.5102935138982289,0.17196210471415924,0.43902439024390244,0.36097560975609755
105,台北市場,FH522,迥香-白,209,85,74,0.5302503512230803,0.2330323118408759,0.40669856459330145,0.35406698564593303
105,台北市場,FY003,唐棉,211,89,74,0.5690557555265611,0.21657481803527703,0.4218009478672986,0.35071090047393366
241,三重區,LC0,包心白-其他,212,94,74,0.5579221178897547,0.3264981729046618,0.44339622641509435,0.3490566037735849
241,三重區,SG7,大蒜-蒜瓣,212,106,74,0.5619515192735899,0.19021269161946872,0.5,0.3490566037735849
400,台中市,FU1,隼人瓜,212,90,74,0.5214793479794374,0.18765973419556362,0.42452830188679247,0.3490566037735849
514,彰化市場,FE416,非洲菊-熱情粉,213,109,74,0.43652959770555416,0.13861080175483217,0.5117370892018779,0.3474178403755869
900,屏東市,LN1,油菜,213,89,74,0.5267823917628658,0.27147995513656603,0.41784037558685444,0.3474178403755869
109,台北一,FD0,花胡瓜-其他,214,118,74,0.4590756401659769,0.133174958871025,0.5514018691588785,0.34579439252336447
109,台北一,FY5,玉米-糯米黑,214,113,74,0.473479919144406,0.1499218261104434,0.5280373831775701,0.34579439252336447
338,桃農,FC1,胡瓜-黑刺,214,116,74,0.45496684419064265,0.11603106943129851,0.5420560747663551,0.34579439252336447
105,台北市場,FH381,麒麟草,216,111,74,0.49461301681311415,0.16045806125117532,0.5138888888888888,0.3425925925925926
105,台北市場,FR117,玫瑰-萬年紅,216,99,74,0.49224487668651307,0.16489066013834658,0.4583333333333333,0.3425925925925926
950,花蓮市,FH3,扁蒲-花蒲,220,94,74,0.4948755489493963,0.2291794944061037,0.42727272727272725,0.33636363636363636
420,豐原區,LB2,小白菜-蚵仔白,227,132,74,0.42641024119365684,0.11147592223771477,0.5814977973568282,0.32599118942731276
104,台北二,LB8,小白菜-水耕,183,96,73,0.533568544608825,0.21500360249385325,0.5245901639344263,0.3989071038251366
104,台北二,W2,洋香瓜-網狀綠肉,192,96,73,0.5467579377245705,0.23181779844049688,0.5,0.3802083333333333
800,高雄市場,FR122,玫瑰-卡門,198,92,73,0.5589025109116789,0.22864121802035353,0.46464646464646464,0.3686868686868687
800,高雄市場,FS972,OT紅福特-雙朵,203,93,73,0.507475477772729,0.23263494236112,0.458128078817734,0.35960591133004927
105,台北市場,FR705,玫瑰-紫天王,205,95,73,0.5537105082116982,0.20015195311322465,0.4634146341463415,0.35609756097560974
105,台北市場,FR711,玫瑰-天堂紫,205,91,73,0.5247938214852206,0.2254613067422318,0.44390243902439025,0.35609756097560974
700,台南市場,FY057,百合竹,206,95,73,0.5441486981362631,0.15155978306014498,0.46116504854368934,0.35436893203883496
514,彰化市場,FS631,OT曼尼薩-單朵,207,94,73,0.5306810342041256,0.19218640998422712,0.45410628019323673,0.3526570048309179
109,台北一,LH2,菠菜-角葉,208,88,73,0.5289167998733973,0.2393703077080911,0.4230769230769231,0.35096153846153844
220,板橋區,LH2,菠菜-角葉,209,117,73,0.4705508887115417,0.1531346708645024,0.5598086124401914,0.3492822966507177
800,高雄市場,FG105,劍蘭-２３５號,209,98,73,0.5019163440376403,0.20611812628622814,0.4688995215311005,0.3492822966507177
241,三重區,FM2,菜豆-青色,210,89,73,0.5117183927429405,0.21951832517043848,0.4238095238095238,0.3476190476190476
109,台北一,LV1,巴西利,211,87,73,0.5643612529337038,0.3840470627092486,0.41232227488151657,0.3459715639810427
